Review,cleaned_review,classification
"Could be so much better but one scene ruined the whole the movie to be a top-notch action flic.Grace is the threatened by a gunman on a moving train. But thanks God that there is Ethan Hunt! He managed to jump with a parachute from a mountain and reaches easily the moving train. For sure he exactly lands in the carriage where the guy points his gun to Grace and knocks him down without effort. For me the most realistic and best timed scene ever. It was splendid, it deserves an own category at the Golden Rapsberry Awards.Actually, the movie started quite intense with the scene in the submarine and the situation in the Arabian Desert. The chase at Abu Dhabi Airport was well-performed and the plot quite decent until this moment. After this point the movie loses its grip. The hunt in Rome was too CGI driven and many coincidences lead to a successful escape from the villain. And about the ridiculous final scene in the Alps is nothing more to add than in the beginning of this review. Thanks to the great first half this movie it gets a pretty good 7 out of 10. But I hope the second part delivers.",could be so much better but one scene ruined the whole the movie to be a topnotch action flicgrace is the threatened by a gunman on a moving train but thanks god that there is ethan hunt he managed to jump with a parachute from a mountain and reaches easily the moving train for sure he exactly lands in the carriage where the guy points his gun to grace and knocks him down without effort for me the most realistic and best timed scene ever it was splendid it deserves an own category at the golden rapsberry awardsactually the movie started quite intense with the scene in the submarine and the situation in the arabian desert the chase at abu dhabi airport was wellperformed and the plot quite decent until this moment after this point the movie loses its grip the hunt in rome was too cgi driven and many coincidences lead to a successful escape from the villain and about the ridiculous final scene in the alps is nothing more to add than in the beginning of this review thanks to the great first half this movie it gets a pretty good 7 out of 10 but i hope the second part delivers,Positive
"The script is just awful. All full of portentous,doom-laden, pseudo- biblical nonsense and I think the ""entity"" is talked about around a 100 times. 99 times too many to keep a straight face. No matter how one enjoys the production, the scenery, the score, the script is just far too silly for words. Everyone has to work with terrible dialogue and I have no idea why so much screen time is given to Haley Atwell. She's just an ordinary bit part player and not one tenth of one percent of the charisma and character of Rebecca Ferguson. I found Atwell to be silly and superficial and not up to the calibre of the usual cast. And oh my heavens, this is script that should have died in writers 101, it's just ....dead. I felt sorry for the actors having to spew such semi literate drivel. I would rate this as the worst MI movie, such a shame and a disappointment.",the script is just awful all full of portentousdoomladen pseudo biblical nonsense and i think the entity is talked about around a 100 times 99 times too many to keep a straight face no matter how one enjoys the production the scenery the score the script is just far too silly for words everyone has to work with terrible dialogue and i have no idea why so much screen time is given to haley atwell shes just an ordinary bit part player and not one tenth of one percent of the charisma and character of rebecca ferguson i found atwell to be silly and superficial and not up to the calibre of the usual cast and oh my heavens this is script that should have died in writers 101 its just dead i felt sorry for the actors having to spew such semi literate drivel i would rate this as the worst mi movie such a shame and a disappointment,Negative
"MI has fallen!!! I REPEAT, MI HAS FALLEN FROM ITS PEAK OF ADVENTURES AND ENCHANTMENT!!!Now for this, if MI has a wish or hope to rise again to flourish with all the success and deliver the utmost watching experiences to the audiences then it must change its thinking that making this kind of forgiveness doesnt work at all in this era, this is a cruel world and you live with your consequences, Grace is the most hated character among all and to be honest this is the first time am vomiting watching MI, seriously TOM, you had to choose this kinda s!utty character and for that character to portray you chose Hayley??! The Agent Carter??! GOD DAMN IT!!! Whoever sides with cap is the enemy to the world, yeah i live in the world of ideas and cinemas as i hold business with production house and many more in South East Asia!!!I hated that b!!c! Ever since she got into the screen!!! Shoot... Should have died a long time ago in the hands of TOM Cruise!!!",mi has fallen i repeat mi has fallen from its peak of adventures and enchantmentnow for this if mi has a wish or hope to rise again to flourish with all the success and deliver the utmost watching experiences to the audiences then it must change its thinking that making this kind of forgiveness doesnt work at all in this era this is a cruel world and you live with your consequences grace is the most hated character among all and to be honest this is the first time am vomiting watching mi seriously tom you had to choose this kinda sutty character and for that character to portray you chose hayley the agent carter god damn it whoever sides with cap is the enemy to the world yeah i live in the world of ideas and cinemas as i hold business with production house and many more in south east asiai hated that bc ever since she got into the screen shoot should have died a long time ago in the hands of tom cruise,Positive
"Won't say anything other that Ilsa's demise ruined the franchise for me and also, why is it that many of the powerful women equal to powerful men get killed off in Hollywood movies. Anyway, that's just an opinion but did not appreciate it. I read somewhere that this made sense to the story, aka Ethan running around to save two women because one had to die?? Like...what? No, just no, writers can do better than that instead of throwing around such a cheap trope for the ""emotional"" growth of the main hero. That does not take away from the fact that Ilsa's character was also damaged prior to this movie by a silly inclusion in Ethan's team. It brings you back to the silly finale of the very first movie, pity!",wont say anything other that ilsas demise ruined the franchise for me and also why is it that many of the powerful women equal to powerful men get killed off in hollywood movies anyway thats just an opinion but did not appreciate it i read somewhere that this made sense to the story aka ethan running around to save two women because one had to die likewhat no just no writers can do better than that instead of throwing around such a cheap trope for the emotional growth of the main hero that does not take away from the fact that ilsas character was also damaged prior to this movie by a silly inclusion in ethans team it brings you back to the silly finale of the very first movie pity,Positive
"When mission impossible was first introduced it was refreshing and exciting, the stunts the gadgets everything, it's like a new gen 007. But as the year go by, the story is becoming repetitive and Ethan Hunt became some sort of messiah and movie logic became very horrendous. As a agent that's supposed to save the world, Ethan hunt risked the world multiple times for his personal relationship like his friends. So every single of the prequels are always the same crew and the gadgets and tricks are just so similar and uncreative. The only thing that made mission impossible watchable right now are the stunts, other than that it just turned into some kind of fast and furious franchise. Very disappointed.",when mission impossible was first introduced it was refreshing and exciting the stunts the gadgets everything its like a new gen 007 but as the year go by the story is becoming repetitive and ethan hunt became some sort of messiah and movie logic became very horrendous as a agent thats supposed to save the world ethan hunt risked the world multiple times for his personal relationship like his friends so every single of the prequels are always the same crew and the gadgets and tricks are just so similar and uncreative the only thing that made mission impossible watchable right now are the stunts other than that it just turned into some kind of fast and furious franchise very disappointed,Positive
"Maybe it was because my expectations weren't overly high - maybe it was because I just now finally sat down to watch this - but DANG - this was good! This was by FAR TYE BEST MISSION IMPOSSIBLE MOVIE TO DATE!!!The story is a little far fetched - but it's still interesting - and the action sequences are amazing. In my opinion - there are some of the best action sequences ever filmed!!! It really a big, fun, edge of your seat - start to finish roller coaster ride. This is the best Mission Impossible yet - and I will definitely be looking forward to Part 2. Lots of fun - very good - and that's that!",maybe it was because my expectations werent overly high  maybe it was because i just now finally sat down to watch this  but dang  this was good this was by far tye best mission impossible movie to datethe story is a little far fetched  but its still interesting  and the action sequences are amazing in my opinion  there are some of the best action sequences ever filmed it really a big fun edge of your seat  start to finish roller coaster ride this is the best mission impossible yet  and i will definitely be looking forward to part 2 lots of fun  very good  and thats that,Positive
"An soulless, empty 2hr 43min which consists of a series of overworked, overlong and repetitive action sequences interspersed with overworked, overlong and drawn out scenes of the characters talking about how complex and bad the situation (& plot) is.Tom Cruise just looked tired and bored throughout the entire slog of the movie.His team mates have little purpose other than to over explain everything that may happen, is going to happen or what they will have to do to stop something from happening.The new cast members are either pointless or stereotypes of the usual characters seen in these movies; and there's an antagonist who thinks and acts like a robot assumingly because of who he is working for.I reckon Part 2 will be just as woeful.",an soulless empty 2hr 43min which consists of a series of overworked overlong and repetitive action sequences interspersed with overworked overlong and drawn out scenes of the characters talking about how complex and bad the situation  plot istom cruise just looked tired and bored throughout the entire slog of the moviehis team mates have little purpose other than to over explain everything that may happen is going to happen or what they will have to do to stop something from happeningthe new cast members are either pointless or stereotypes of the usual characters seen in these movies and theres an antagonist who thinks and acts like a robot assumingly because of who he is working fori reckon part 2 will be just as woeful,Negative
"With the seventh chapter of the Mission Impossible saga we are taken back a little to what were the beginnings of the saga itself, both from the point of view of the characters, the direction and the narration. From a directorial point of view, in particular, Christopher McQuarrie confirms himself as one of the most capable action moviemakers of recent years, managing to put together an extreme variety of action scenes that are different from each other in a memorable and adrenaline-filled way. Nonetheless, however, the direction also seems to want to emulate the style of Brian de Palma, already director of the first chapter, and the insistent use of Dutch angles and close-ups turns out to be a mere exercise in style rather than a truly inspired choice. From a narrative point of view the plot becomes more understandable after two or three viewings of the movie, since at first it appears to be excessively convoluted but once unraveled it acquires a very high degree of entertainment. The choice to divide the movie into two parts is unjustified and this is noticeable due to the unnecessarily long duration of this part one. Numerous action scenes last longer than they should and some events are extremely dilated in time. Nonetheless, the movie is in no way boring and the stunts, which are now an integral part of what elevates the Mission Impossible saga above the average of other action franchises, always keep the viewer in suspense and are worthy of be appreciated in style at the cinema.",with the seventh chapter of the mission impossible saga we are taken back a little to what were the beginnings of the saga itself both from the point of view of the characters the direction and the narration from a directorial point of view in particular christopher mcquarrie confirms himself as one of the most capable action moviemakers of recent years managing to put together an extreme variety of action scenes that are different from each other in a memorable and adrenalinefilled way nonetheless however the direction also seems to want to emulate the style of brian de palma already director of the first chapter and the insistent use of dutch angles and closeups turns out to be a mere exercise in style rather than a truly inspired choice from a narrative point of view the plot becomes more understandable after two or three viewings of the movie since at first it appears to be excessively convoluted but once unraveled it acquires a very high degree of entertainment the choice to divide the movie into two parts is unjustified and this is noticeable due to the unnecessarily long duration of this part one numerous action scenes last longer than they should and some events are extremely dilated in time nonetheless the movie is in no way boring and the stunts which are now an integral part of what elevates the mission impossible saga above the average of other action franchises always keep the viewer in suspense and are worthy of be appreciated in style at the cinema,Negative
"Mission Impossible: Dead Reckoning is an exhilarating cinematic masterpiece! With mind-blowing action sequences a gripping plot and outstanding performances it keeps you on the edge of your seat from start to finish. A must-watch for any action movie fan!"" Mission Impossible: Dead Reckoning is an exhilarating cinematic masterpiece! With mind-blowing action sequences a gripping plot and outstanding performances it keeps you on the edge of your seat from start to finish. A must-watch for any action movie fan!"" It was an amazing movie I was on the edge of my seat for the entire movie. I can't wait for part 2. I hope part 2 is a better success at the box office than part 1.",mission impossible dead reckoning is an exhilarating cinematic masterpiece with mindblowing action sequences a gripping plot and outstanding performances it keeps you on the edge of your seat from start to finish a mustwatch for any action movie fan mission impossible dead reckoning is an exhilarating cinematic masterpiece with mindblowing action sequences a gripping plot and outstanding performances it keeps you on the edge of your seat from start to finish a mustwatch for any action movie fan it was an amazing movie i was on the edge of my seat for the entire movie i cant wait for part 2 i hope part 2 is a better success at the box office than part 1,Positive
"In recent years I've rather tired of the action blockbuster, and this is a series that I've missed much of in the first place, ever since the first sequel. Given the chance to watch all of Tom Cruise's 'Mission: Impossible' films, though, my curiosity got the best of me, and I'm happy to say it was rewarded much more than not: all of them have been pretty enjoyable, in one measure or another. There's inconsistency from one title to the next, and there are reasonable criticisms to level with even the best of them, but for anyone receptive to what the genre portends, there's not really any going wrong here. All the same, it's fair to wonder how Cruise and returning filmmaker Christopher McQuarrie could follow up 2018's 'Fallout,' which while still not my personal favorite (that would be 2006's MI3) was surely the most polished, focused, and balanced up to this point. Not least recognizing that the big stunts and action sequences only grew from one sequel to the next, how does 'Dead reckoning' stack up compared to its forebears? To be honest, I find myself surprised. I do like this seventh feature, and it more or less fits in with its kin, but in my opinion it's an awkward step backward from its immediate predecessor.For as much as 'Fallout' was ever so carefully crafted in every capacity, its writing not least, I don't think the same supreme judiciousness was fully applied in this case. Don't get me wrong, in terms of production values this reflects the very best of modern cinema, and every single person in front of the camera and behind the scenes turned in impeccable work. From a fundamental standpoint of the visual experience the picture is so vibrant that it's genuinely pleasing, and much the same goes for the sound design. I love Lorne Balfe's dynamic score even as - contrary to a few years before - it borrows more from Lalo Schifrin's original theme, and the other music selectively used throughout is a blast. The stunts, practical effects, fight scenes, and otherwise action sequences, the keystones of these films since the beginning and only ever more so over time, are utterly outstanding. The computer generated imagery that's used to round out particular sequences looks as good as it could (though as ever, the more we see of it, the worse it looks). All this is swell. It's McQuarrie and Erik Jendresen's screenplay that leaves me a bit unimpressed, raising a quizzical eyebrow, and some other facets are impacted in turn.From the outset the premise, involving super-smart artificial intelligence, brings to mind numerous abject sci-fi flicks of the past, from 'The terminator' and 'Demon seed' to B-movies of the 50s. After 'Fallout' so thoroughly cleansed itself of such trappings aside from a few props, it seems strange for 'Dead reckoning' to fully embrace them. Granted, it's not as if Ethan Hunt is facing off against cyborgs, and there are certainly human elements opposing our protagonist, but it's a sharp turn for the series. And it's definitely not just about the hi-tech gadgetry. I do have to ask: is it just me? Is watching the series back to back to back putting the whole at a disadvantage as they all start to blend together after a time? There are many points at which the writing is decidedly heavy-handed, practically brow-beating us with the dialogue and scene writing. As a prime example, look to one of the earliest scenes, where McQuarrie and Jendresen unflinchingly speak to the calamitous precipice over which our world hangs in real life, speak to the foolhardy arrogance and ignorance with which techbros toy with the digital landscape, describe Ethan Hunt as if he were a comic book superhero, and lay out exposition with all the elegance of a hippopotamus in heels. There are the flashbacks, not fully fleshed out, and the attempts to less convincingly address thoughtful questions as MI6 had. Then there are the instances that exceed the substantial playfulness of other past installments to embrace outright comedy - watch for the action sequence just after the one-hour mark, or a late shot of an actor having their ""William Shatner screaming 'Khan!'"" moment - or that are very nearly so; parts of the last big action sequence are a heartbeat away from being a bit for Keaton or Chaplin. Elsewhere the writing is weirdly self-parodying, as if 'Dead reckoning' were a deadpan send-up a la John Carpenter's 'Ghosts of Mars.' With this latter quality in mind, some odds and ends don't come off so well: some overzealous cinematography or editing, a cartoonish look a character wears for one sequence, some otherwise artistic shot composition, how the female characters are written, and more. McQuarrie very clearly made his best effort as a writer for the 2018 antecedent to be its best self; what happened here?Please understand, I do enjoy this movie. So much about it looks and sounds superb. The cast is splendid, and I believe in this case the women, all given only supporting parts, rather outshine their male co-stars. I look forward to seeing more from Hayley Atwell, who easily holds her own as the most important second fiddle; Rebecca Ferguson needs no introduction, nor Vanessa Kirby, and Kirby in particular is allowed to demonstrate more of her skills this time around. Pom Klementieff, to my delight, might be one of the top highlights here, as she is obviously living her best life in portraying cold, vicious Paris. While the writing, and in turn McQuarrie's direction and oversight of the whole, lends to some tidbits that I find questionable, the contributions in and of themselves are unassailable. Why, though the details are less sure-footed and open to dissection, the foundations in the story and screenplay are solid. I'll even go so far as to say that I - someone who scoffs judgmentally at how so many blockbusters of recent years feel the need to be nearly, exactly, or more than three hours long - think that at its core the narrative is penned so well that these 163 minutes pass quite quickly and smoothly, and meaningfully necessitate another full-length feature to finish the plot. I might even hope that once the eighth 'Mission: Impossible' is released, it will complement the seventh so well that the criticisms I have now may be somewhat tempered.It's just that for a series that seemed to find its true voice five years prior, 'Dead reckoning' - for all its splendor as a production - feels like a throwback to a time when each subsequent installment was trying something a little different, some with more success than others. The overall vibe I have with this comes closest to matching those I have with the 1996 progenitor and 2011's 'Ghost Protocol': solidly made, and overall enjoyable, but imperfect, not as outwardly grabbing, troubled by issues with the writing, and less certain to demand viewership once, or to inspire a second viewing. I'm glad for those who get more out of this picture than I do; we all have our personal preferences. For my money, excellent as it may be in many ways, in some critical ones the latest 'Mission: Impossible' comes up short and a smidgen unimpressive. Check it out, by all means; if it's an action flick you want, it's an action flick you'll get. 'Dead reckoning' just doesn't have its feet planted as firmly as some of its brethren, and to me, therein lies the problem.",in recent years ive rather tired of the action blockbuster and this is a series that ive missed much of in the first place ever since the first sequel given the chance to watch all of tom cruises mission impossible films though my curiosity got the best of me and im happy to say it was rewarded much more than not all of them have been pretty enjoyable in one measure or another theres inconsistency from one title to the next and there are reasonable criticisms to level with even the best of them but for anyone receptive to what the genre portends theres not really any going wrong here all the same its fair to wonder how cruise and returning filmmaker christopher mcquarrie could follow up 2018s fallout which while still not my personal favorite that would be 2006s mi3 was surely the most polished focused and balanced up to this point not least recognizing that the big stunts and action sequences only grew from one sequel to the next how does dead reckoning stack up compared to its forebears to be honest i find myself surprised i do like this seventh feature and it more or less fits in with its kin but in my opinion its an awkward step backward from its immediate predecessorfor as much as fallout was ever so carefully crafted in every capacity its writing not least i dont think the same supreme judiciousness was fully applied in this case dont get me wrong in terms of production values this reflects the very best of modern cinema and every single person in front of the camera and behind the scenes turned in impeccable work from a fundamental standpoint of the visual experience the picture is so vibrant that its genuinely pleasing and much the same goes for the sound design i love lorne balfes dynamic score even as  contrary to a few years before  it borrows more from lalo schifrins original theme and the other music selectively used throughout is a blast the stunts practical effects fight scenes and otherwise action sequences the keystones of these films since the beginning and only ever more so over time are utterly outstanding the computer generated imagery thats used to round out particular sequences looks as good as it could though as ever the more we see of it the worse it looks all this is swell its mcquarrie and erik jendresens screenplay that leaves me a bit unimpressed raising a quizzical eyebrow and some other facets are impacted in turnfrom the outset the premise involving supersmart artificial intelligence brings to mind numerous abject scifi flicks of the past from the terminator and demon seed to bmovies of the 50s after fallout so thoroughly cleansed itself of such trappings aside from a few props it seems strange for dead reckoning to fully embrace them granted its not as if ethan hunt is facing off against cyborgs and there are certainly human elements opposing our protagonist but its a sharp turn for the series and its definitely not just about the hitech gadgetry i do have to ask is it just me is watching the series back to back to back putting the whole at a disadvantage as they all start to blend together after a time there are many points at which the writing is decidedly heavyhanded practically browbeating us with the dialogue and scene writing as a prime example look to one of the earliest scenes where mcquarrie and jendresen unflinchingly speak to the calamitous precipice over which our world hangs in real life speak to the foolhardy arrogance and ignorance with which techbros toy with the digital landscape describe ethan hunt as if he were a comic book superhero and lay out exposition with all the elegance of a hippopotamus in heels there are the flashbacks not fully fleshed out and the attempts to less convincingly address thoughtful questions as mi6 had then there are the instances that exceed the substantial playfulness of other past installments to embrace outright comedy  watch for the action sequence just after the onehour mark or a late shot of an actor having their william shatner screaming khan moment  or that are very nearly so parts of the last big action sequence are a heartbeat away from being a bit for keaton or chaplin elsewhere the writing is weirdly selfparodying as if dead reckoning were a deadpan sendup a la john carpenters ghosts of mars with this latter quality in mind some odds and ends dont come off so well some overzealous cinematography or editing a cartoonish look a character wears for one sequence some otherwise artistic shot composition how the female characters are written and more mcquarrie very clearly made his best effort as a writer for the 2018 antecedent to be its best self what happened hereplease understand i do enjoy this movie so much about it looks and sounds superb the cast is splendid and i believe in this case the women all given only supporting parts rather outshine their male costars i look forward to seeing more from hayley atwell who easily holds her own as the most important second fiddle rebecca ferguson needs no introduction nor vanessa kirby and kirby in particular is allowed to demonstrate more of her skills this time around pom klementieff to my delight might be one of the top highlights here as she is obviously living her best life in portraying cold vicious paris while the writing and in turn mcquarries direction and oversight of the whole lends to some tidbits that i find questionable the contributions in and of themselves are unassailable why though the details are less surefooted and open to dissection the foundations in the story and screenplay are solid ill even go so far as to say that i  someone who scoffs judgmentally at how so many blockbusters of recent years feel the need to be nearly exactly or more than three hours long  think that at its core the narrative is penned so well that these 163 minutes pass quite quickly and smoothly and meaningfully necessitate another fulllength feature to finish the plot i might even hope that once the eighth mission impossible is released it will complement the seventh so well that the criticisms i have now may be somewhat temperedits just that for a series that seemed to find its true voice five years prior dead reckoning  for all its splendor as a production  feels like a throwback to a time when each subsequent installment was trying something a little different some with more success than others the overall vibe i have with this comes closest to matching those i have with the 1996 progenitor and 2011s ghost protocol solidly made and overall enjoyable but imperfect not as outwardly grabbing troubled by issues with the writing and less certain to demand viewership once or to inspire a second viewing im glad for those who get more out of this picture than i do we all have our personal preferences for my money excellent as it may be in many ways in some critical ones the latest mission impossible comes up short and a smidgen unimpressive check it out by all means if its an action flick you want its an action flick youll get dead reckoning just doesnt have its feet planted as firmly as some of its brethren and to me therein lies the problem,Positive
